thumbnail,id,date,issue_number,issue_id,page,url,download_image,text
"{""img_src"": ""https://nla.gov.au/nla.obj-668407811/image?WID=500"", ""width"": 250}",nla.obj-668407811,1899-04-29,1002,nla.obj-668383396,7,https://nla.gov.au/nla.obj-668407811,https://nla.gov.au/nla.obj-668407811/image,"

The Bulletin
Registered at the General Post Office, Sydney , for Transmission by Post as a Newspaper.
Vol. 20.—N0. 1002.
SATURDAY, APRIL 29, 1899.
Priob 6d.
Reid says he can’t get enough sneaks and spies to properly carry o’ 7
closing law.
MR. WANT’S RETURN.
“ The Premier hopes that his late Attorney-General will not
further complicate matters for the Government by coming back pre-
cipitately and emphasising his opposition to the decisions of the Pre- .
miers’Conference. Mr. Reid thinks that Mr. Wants health wfll
preclude an early departure from London. Another reason that m-
duces the Premier to imagine
'that his late colleague will
prolong his stay in the old
land is the fact that in ""con-
nection with a mining venture
in Queensland, Mr. Want has,
it is stated, succeeded in sud-
denly amassing a fortune of be-
tween £30,000 and £40,000.
“ Prince Henry of Prussia, who was present at
the launch of the North German Lloyd Company’s
new steam tender at Shanghai, «met with an acci-
dent as the vessel was leaving the ' ways.” The
order was given to release the ‘ dogs,’ when a large
piece of wood fell from the vessel’s bows, striking
the Prince on the head. He entered into the sub-
sequent proceedings with appacent unconcern. ’
Chorus op Deacons : “ J think we could get a few ! ”
The Sydney Daily Telegraph has got it bad. Here is the
fragment of a wail clipped’ from a recent issue of that sorely-tried
journal :
THE ATTORNEY • GENERAL.
The Premier is in no hurry to fill the vacancy caused by the resigna-
tion of Mr. Want. Mr. Reid says the public may be definitely informed
that nothing will be done in the matter
“ for some time to come.” What*
however, if the Premier secret-
ly anticipates that Mr.
Want, when the present
trouble is settled for good
or evil, will wander hack to
the fold 1 Mr. Want has
done it before why not,
again ? There are prob-
done it before ; why not
again ? There arc prob-
cedure.
It really looks as if the
anti-Billious party were,
generally speaking, “prob-
done ”
Arch-destroying Angel : “ Alas ! my bleed-
ing country. Fain would I fly to her assistance
in this her hour of peril ; but owing to the present
State of my health ” (patting his pockets) “1 >
find it impossible to fly.”
WHAT ANTI-FEDERALISTS ARE TRYING TO PERPETUATE.
“ General ” Booth says he does not yet despair of saving the politicians, especially
those hardened sinners, Iteid and Dibbs.
The other piece of timber got the worst, of it.
CARTOONLETS.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-597273678/image?WID=500"", ""width"": 250}",nla.obj-597273678,1928-03-14,2509,nla.obj-597212663,7,https://nla.gov.au/nla.obj-597273678,https://nla.gov.au/nla.obj-597273678/image,"

The Bulletin
Vol. 49—No. 2509.
March 14, 1928.
THE TWO-HEADED GIANT.
“In addition to the huge Federal collections, the N.S.W. taxpayer has had to find £26,007,968 for the State revenue during eight months, and that is insufficient to
meet the expenditure by £3,656,088. In other States the taxpayers suffer similarly.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-573257606/image?WID=500"", ""width"": 250}",nla.obj-573257606,1939-04-05,3086,nla.obj-573192610,11,https://nla.gov.au/nla.obj-573257606,https://nla.gov.au/nla.obj-573257606/image,"

THE SPHINX WINKS.
""Signor Mussolini’s vitally important speech was interpreted in Berlin as strengthening the Axis; in France as conciliatory.”
“Now, just take down half a dozen more guesses and that will do for this week.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-450805902/image?WID=500"", ""width"": 250}",nla.obj-450805902,1890-07-05,542,nla.obj-450779135,5,https://nla.gov.au/nla.obj-450805902,https://nla.gov.au/nla.obj-450805902/image,"

The Bulletin
Vcl 11-No. 542
SATURDAY, JULY 5, 1890.
Prlot, 6d.
— >,
SMOKE HO! THE PIPE OF PEACE.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-669527455/image?WID=500"", ""width"": 250}",nla.obj-669527455,1919-02-13,2035,nla.obj-669400620,7,https://nla.gov.au/nla.obj-669527455,https://nla.gov.au/nla.obj-669527455/image,"

The Bulletin
Registered at the General Post Office,. Sydney, N.S.W., Australia, for Transmission by Post as a Newspaper.
Vol. 40.—N0. 2035.
TIIIjIiSDAT7 FEBRIJARY 13, 1919.
Price 6d.
THE NEIGHBORS. -
MELBOURNE: “I don’t care. I can keep him in my yard if I like.”
SYDNEY: “But you can’t keep him there; that’s what narks me!”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-690193872/image?WID=500"", ""width"": 250}",nla.obj-690193872,1888-09-08,448,nla.obj-508118037,1,https://nla.gov.au/nla.obj-690193872,https://nla.gov.au/nla.obj-690193872/image,"

FRY’S COCOA.
J. S. PRY & SONS, Bristol, London and Sydnnt.
“An ordinary cup contains more active properties of malt than a pint of the bestJAle or-Porter.”— LAN a»i.
ONLY ADDRESS :
Elizabeth Street
Teeth Made on the Latest American
principles at Moderate Charges.
UTROM ■ OXIDE BAS administered DAILY
For ZEsmrtrstctlza gr Teetla. F s aizxlessl37- '
gold filling a speciality.
•it
BROTHERS, of 133 Elizabeth Street, beg respectfully to remind the Public that they are the
s hed Pi rn
ONLY
m of Dentists of the same name practising in Sydney, and are in no way connected with any other establishment.
address - 133 ELIZABETH STREET
The Bulletin
"
"{""img_src"": ""https://nla.gov.au/nla.obj-661497221/image?WID=500"", ""width"": 250}",nla.obj-661497221,1914-09-24,1806,nla.obj-661494091,7,https://nla.gov.au/nla.obj-661497221,https://nla.gov.au/nla.obj-661497221/image,"

The Bulletin
Registered at the General Post Office, Sydney, for Transmission by Post as a Newspaper
Vol. 35. Ko. 1800.
THUIiSDAY, SEPTEMBER 24, 1914.
I’kicb 9b.
HIS MISTAKE
George William H. Rignoid Henry Hohenzollern V. had played the part at HIs Majesty's, Potsdam, to lage audiences for so many years that he forget he
was only an actor and thought he was real.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-573122497/image?WID=500"", ""width"": 250}",nla.obj-573122497,1938-11-16,3066,nla.obj-573091395,11,https://nla.gov.au/nla.obj-573122497,https://nla.gov.au/nla.obj-573122497/image,"

THE THINKERS.
“Africa to Australia in two days. Doesn’t it make you THINK?""
"
"{""img_src"": ""https://nla.gov.au/nla.obj-665635817/image?WID=500"", ""width"": 250}",nla.obj-665635817,1920-07-01,2107,nla.obj-665570516,7,https://nla.gov.au/nla.obj-665635817,https://nla.gov.au/nla.obj-665635817/image,"

The Bulletin
Registered at the General Post Office., Sydney, N.S.W., Australia, for Transmission by Post as a Newspaper.
Vol. 41.—N0. 2108.
Till) USD AY, JULY 1, 1920.
Price 9d.
A COMMENT FROM THE GRILL-ROOM.
“Fancy wasting brimstone on a bunch line this!”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-660165045/image?WID=500"", ""width"": 250}",nla.obj-660165045,1921-04-07,2147,nla.obj-660146757,7,https://nla.gov.au/nla.obj-660165045,https://nla.gov.au/nla.obj-660165045/image,"

The Bulletin
Begistered at the General Post Office, Sydney, N.S.W., Australia, for Transmission by Post as a Newspaper.
VOL. 42.—N0. 2147.
THURSDAY, APRIL 7, 1921.
Price 9d.
LABOR AND HER FRIENDS.
LABOR (at the A.L.P. Conference): “Friends! They merely soil my garments!”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-450092362/image?WID=500"", ""width"": 250}",nla.obj-450092362,1892-05-14,639,nla.obj-450013469,7,https://nla.gov.au/nla.obj-450092362,https://nla.gov.au/nla.obj-450092362/image,"

The Bulletin
Vol. 12- Ko. C£D
SATURDAY, MAY 14, 1892.
Price, 6d.
s
ś
AN “OPENING.”
It is claimed that the introduction of Kanaka labor into Queensland will make an opening for white labor as well, It will inded.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-541797644/image?WID=500"", ""width"": 250}",nla.obj-541797644,1941-09-17,3214,nla.obj-541698434,11,https://nla.gov.au/nla.obj-541797644,https://nla.gov.au/nla.obj-541797644/image,"

THE OFFICE STAKES.
“The Government must move towards Labor standards and principles.”—Mr. Fadden at Brisbane.
“Keep going, Jack, and we’re home and dry.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-599304347/image?WID=500"", ""width"": 250}",nla.obj-599304347,1929-10-23,2593,nla.obj-599271351,7,https://nla.gov.au/nla.obj-599304347,https://nla.gov.au/nla.obj-599304347/image,"

The Bulletin
Vol. 50.-—N0.2393.
October 33, 1939.
THE TAIL OF THE PROCESSION.
“The arrival of Mr. Seullin was a Labor gala-day at Canberra.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-660198324/image?WID=500"", ""width"": 250}",nla.obj-660198324,1921-04-21,2149,nla.obj-660146927,7,https://nla.gov.au/nla.obj-660198324,https://nla.gov.au/nla.obj-660198324/image,"

The Bulletin
Registered at the General Post Office, Sydney, N.S.W., Australia, for Transmission by Post as a Newspaper.
Vol. 42.—N0. 2149.
THURSDAY, APRIL 21, 1921.
Price 9i>.
DEFINITELY SCRATCHED.
UNCLE SAM: “Say, you can quit firin’ them ’tarts. I ain’t goin’ ter love her.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-539578775/image?WID=500"", ""width"": 250}",nla.obj-539578775,1941-01-22,3180,nla.obj-539558408,13,https://nla.gov.au/nla.obj-539578775,https://nla.gov.au/nla.obj-539578775/image,"

“POOF, IT’S-A NOTHING- GIDDA-UP QUICK, MUSTAPHA.”
“My royal war drums sound nightly along the frontier.”— Ex-Emperor Haile Silassie.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-668185587/image?WID=500"", ""width"": 250}",nla.obj-668185587,1898-05-07,951,nla.obj-668161382,7,https://nla.gov.au/nla.obj-668185587,https://nla.gov.au/nla.obj-668185587/image,"

The Bulletin
Registered at the General Post Office, Sydney , for Transmission by Post as a Newspaper.
Vol. 19.—N0. 951.
SATURDAY, MAY 7, 1898.
Price, 6d.
ALL OVER THE SHOP.
LONDON, May 1, 4.25 p.m.—ln response to
the call of the President, for volunteers, no
fewer than 700,000; have offered their ser-
vices. Among them are “Bob” .Fitzsimmons,
J. L. Sullivan, and James Corbett, the cham-
pion and ex-champlon pugilists.
""Jn the illustration above John L. is seen punching
holes .with his fist in a Spanish collier—that is to say,
cruiser, dangerously near the water-line; while Cor-
bett and Fitzsimmons
are doing great things
in the boat at the /3M§f
left. / vjy
“ Can you tell me, my child, what is the
principal function of the daily press 1 ”
“ Yes, sir. It is to tell lies for pennies
and then swallow the lies ! ’’
“ Child, you are not such a fool as you
look ! ”
Loudon, Friday Afternoon.—
British and American war-cor-
respondents will follow the
American blockading squadron
everywhere in fast dispatch
boats.
And the Father of Lies will
gnash his teeth with envy as he
“ follows ” their “ reports ” from
day to day in his morning paper.
Mr. Lyne says that the Federation Bill
would bring about a civil war.
“ Hell hath no fury ” »like a politician
who finds that he has tumbled down on
the wrong side of the fence.
tHewar
Federation,
<7/ THE TICK PEST.
In consequence of the outbreak of ticks at Brisbane a pro-
clamation was issued in a supplement to the “ Government Gazette ” yesterday ab-
solutely prohibiting for a period of six months the introduction or importation by
land or sea of any cattle or horses from the following portion of the province of Queens-
land : —“ On the west by the 148th meridian ;on the north by the present quaran-
tine line, as proclaimed on February 25, 1898; on the east by the Pacific Ocean;
and on the south by the boundary dividing the provinces of New South Wales and
Queensland.”
All the same, the ticks will manage to evade the law somehow.
will ; hJ l lL Plaint l fT and f, f ndant a PP eared in person.” Such
Norton. Inade ln Ule Hbel action, Caulfield v “
on Ilcoholismr “ ’ Tw ° a authorities
THE LICENSED VICTUALLERS’
PICNIC.
“ Mr. Reid (the Premier), who was received
with loud applause, expressed the great
pleasure which he felt at being the guest of
the association. There was one matter in
which Mr. Lyne, Mr. Copeland, and himself,
although bitter political opponents, had stood
side by side, and that was the. determination
that the licensing trade of this country should
receive something like fair play. (Cheers.)
He had always been a strong opponent of -what
had been called local option.” (“Hear, hear ”)
The omnibus proprietors’ association held its first annual fiicn.V 1, at . -
"
"{""img_src"": ""https://nla.gov.au/nla.obj-631321151/image?WID=500"", ""width"": 250}",nla.obj-631321151,1930-05-14,2622,nla.obj-631303888,7,https://nla.gov.au/nla.obj-631321151,https://nla.gov.au/nla.obj-631321151/image,"

The Bulletin
Vol. 51.—N0. 2622.
May 14, 193(h
THEIR FIRST TASTE OF IT.
FIRST POLITICAL BRASS HAT: ""Isn’t war hell, Edward Granville?”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-654769636/image?WID=500"", ""width"": 250}",nla.obj-654769636,1910-12-15,1609,nla.obj-654761743,19,https://nla.gov.au/nla.obj-654769636,https://nla.gov.au/nla.obj-654769636/image,"

XMAS
The Bulletin
Registered at the General Post Office, Sydney, N.S.W., Australia, for Transmission by Post as a Newspaper.
Vol. 31.—N0. 1609.
THURSDAY, DECEMBER, 15, 1910.
Prick 6d.
WHEN THE TREATY EXPIRES.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-638127851/image?WID=500"", ""width"": 250}",nla.obj-638127851,1906-02-22,1358,nla.obj-638088401,7,https://nla.gov.au/nla.obj-638127851,https://nla.gov.au/nla.obj-638127851/image,"

The Bulletin
Registered at the General Post Office, Sydney, for Transmission by Post as a Newspaper.
Voij. 27.—N0. 1358.
THU RSDAY, FEBRUARY 22, 1006.
Price 6d.
THE DAILY TELEGI
A sensible innovation Is to be Introduced la the new
Anglican church to be built at Murrumbeena. The com-
mittee has decided that up-to-date punkahs, worked by
water-power, will be fitted up in the building. It is Intended
that these will be worked on all hot days on which meetings
and are held in the church.
/Vo / - 7
śaf
JOURNALISM UP TO DATE.
(Trusting to a rather bad memory, our artist transcribes this “feature” from
the N.S.W. daily press.)
Two views of a house where a gentle kanaka, employed as a servant, closed
his engagement by strangling the entire family. The cross (X* see No. 1)
marks the look-out on the roof where the miscreant used to retire to mature
the plans for his Intended crime over a pipe. The two chimneys (see No. 2),
Indicated by two crosses (XX)» were stuffed with sofa-pillows, left-off clothing
and things, to prevent the shrieks of his victims from being heard outside.
You see the triangle (&) marked on the end of the wing of the building, don't
you ? Well, that Isn’t where the crime was committed, but in the cellar Just
beneath. (Keep this In mind, It’s Important.) A littlf to the right of tho
picture Is seen a policeman, who was telephoned for and called a few days
after the funeral of the victims. Seeing the sign up, “TO LET”, he fired a
few shots at the house (for revolver practice) and left. (It will be observed
there are no crosses on the bouse marking bullet-holes.)
Do hJOT
Strike MATCH-
ED -pURIMfj
Various other Innovations to mitigate the asperities i)f
religious observance will occur to the fertile .mind of the
• seasoned worshipper.
For Instance, the traditional style
of church furniture calls loudly for
-reform. Especially as regards
\ sleeping accommodation.
This journal is happy In-
being able to present its
readers with a fine portrait
of the murderer (II %3T)
taken but a short while be-
fore his lamented death by
hari-kari, which took place
in that part of the house
(see No. 1) marked with a
dagger (f). The bloody foot- J
prints seen leading from the '
house were those of a re-
porter. They were traced
to the door of the pub.
across the way (not shown-
in the illustration).
(if I were not “ Hop” I
would be a reporter I)
[A |E 5 '
Domt, Vote
For WM
Soshus i S.
TH^y
IPS >
c-H-jy
From the very inception
of the adult franchise the
Labor party has recognised
the value of the women’s
vote, and has taken vigor-
ous measures to ensure
that all the women whose
sympathies ore with the
party are put in a position
to use their voting power.
l COMl* OK , /iIK/T
r *t !r 5L17E5 P>3MC,e^'
The vexatious custom of; “passing
the plate’’ should be abolished unless '
such plates be presented weil-garnished
with oysters on the shell and slices of
lemon.
And U the antl-Soclalist vote at the next elec-
>tlons is to be anything like a fairly representative
one, no time must be lost In placing upon the
rolls the names of all the women entitled to vote.-
Women have an equal voting power with men, but they
are unaccustomed to the exercise of that power, and re-
quire some prompting and assistance In the preliminary
stages.—Sydney D. T.
PJ?/YWF D /3y
SfO pDv
THE INEFFECTIVE POLICE WEAPON.
Mrs. Hennessey : “ Molchael Hinnlssey, d’ye mane to ;
tell me you do be letting yer only son, Patrick
Moran Hinnessey, cut his tayth on yer
r-r-rayvr.lvyer ? ”
Policeman Hinnessey (off duty) : ‘‘Oi am, and it makes
i him as happy as Larry.”
Mrs. H.: ” Moichael Hinnessey 1 If it do be loaded,
niver shpake to nie agin 1 ”
Hinnessey : “Be alsy, Kitty I it’s only charged wld,the
polaice rigulaltlon powther an’ ball I V
Enterprising • Proprietor of
Hades:
“ My word! wouldn't It
popularise my little place
down here If I Introduced
punkahs 1 What?”
CRIME, RELIGION, POLITICS.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-490785325/image?WID=500"", ""width"": 250}",nla.obj-490785325,1892-10-15,661,nla.obj-490751224,7,https://nla.gov.au/nla.obj-490785325,https://nla.gov.au/nla.obj-490785325/image,"

The Bulletin
y f j. j r—Ff- fci.
SATURDAY, OCTOBER 15, 1892.
I?rice, Sd,
SOLD INTO SLAVERY-THE ARGENTINA EMIGRATION SCHEME.
CHORUS FROM THE BOATS: "" So long, boys! We're all right.""
"
"{""img_src"": ""https://nla.gov.au/nla.obj-518214983/image?WID=500"", ""width"": 250}",nla.obj-518214983,1951-04-18,3714,nla.obj-518157150,5,https://nla.gov.au/nla.obj-518214983,https://nla.gov.au/nla.obj-518214983/image,"

The Bulletin
Vol. 72—No. 3714
Wednesday, April 18, 1951
INTO HISTORY.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-666201431/image?WID=500"", ""width"": 250}",nla.obj-666201431,1915-10-14,1861,nla.obj-666192662,7,https://nla.gov.au/nla.obj-666201431,https://nla.gov.au/nla.obj-666201431/image,"

The Bulletin
registered at the General Post Office, Sydney, for Transmission by Post; as a Newspaper.
Voi, 36.-No. 1861.
THURSDAY, OCTOBER 14, 1915.
Pjrtce 6d.
NO HURRY, OF COURSE.
THE POLICEMAN: “Here, wake up! There’s a dangerous lunatic smashing up your home!”
ANTI-CONSORIPTIONIST: “Quite so. But, you see, I haven’t made up my mind whether it isn’t against the best traditions of the race to stop him.”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-656400278/image?WID=500"", ""width"": 250}",nla.obj-656400278,1914-05-21,1788,nla.obj-656366899,7,https://nla.gov.au/nla.obj-656400278,https://nla.gov.au/nla.obj-656400278/image,"

The Bulletin
Registered at the General Post Office, Sydney, for Transmission by Post as a Newspaper
,Vol. 35‘— No. 1788.
THURSDAY, MAY 21, 1914.
PUICR !►!>•
RESUMING BUSINESS.
Australian manufacturers’ week being finished, importers’ 51 weeks start again.
"
"{""img_src"": ""https://nla.gov.au/nla.obj-693513850/image?WID=500"", ""width"": 250}",nla.obj-693513850,1887-06-18,385,nla.obj-693511695,1,https://nla.gov.au/nla.obj-693513850,https://nla.gov.au/nla.obj-693513850/image,"

Jubilee Bulletin
Vol. B—-No. 385
SATURDAY, JUYE 18, 1887.
Price., Od.
Miss Frances Rodgers,
IN HER NEW CHARACTER—CHAIRWOMAN OF THE SYDNEY PRIMROSE-LEAGUE.
“O strike me with a feathah!”
"
"{""img_src"": ""https://nla.gov.au/nla.obj-547411381/image?WID=500"", ""width"": 250}",nla.obj-547411381,1947-05-21,3510,nla.obj-547403406,11,https://nla.gov.au/nla.obj-547411381,https://nla.gov.au/nla.obj-547411381/image,"

The Bulletin
Vol. 68 —No. 3510
Wednesday, May 21, 1947
LOOK WHO’S HERE AGAIN!
"
